Timestamp,Are you currently in college or university?,"If you are in college/university, what university? If not in college, what job/occupation are you currently doing/seeking for?",How satisfied are you with your current position post-graduation?,On a scale of 1-10 how much do you think high school helped prepare you for where you are now?
2/27/2023 4:53:00,No,retail,3,4
2/27/2023 5:40:22,No,Construction ,10,10
2/27/2023 6:04:11,Yes,The University of Texas at Austin,6,4
2/27/2023 6:25:12,No,Diesel technician ,10,1
2/27/2023 6:35:06,Yes,San jac ,3,9
2/27/2023 6:38:53,Yes,"University of Houston Main, Teacher",8,10
2/27/2023 7:00:29,No,Air force ,8,6
2/27/2023 7:18:40,Yes,University of Texas at Austin,10,8
2/27/2023 7:27:00,Yes,University of Houston ,8,7
2/27/2023 7:40:30,No,Mechanic,10,1
2/27/2023 8:19:32,No,Real estate agent ,1,9
2/27/2023 8:43:12,Yes,University of Texas at Austin,3,7
2/27/2023 9:01:38,Yes,San Jacinto College ,2,7
2/27/2023 9:05:14,No,welder helper ,3,2
2/27/2023 9:10:46,Yes,University of Texas at Austin,5,8
2/27/2023 9:19:42,Yes,University of Texas at Austin,8,6
2/27/2023 9:20:50,Yes,"University of Texas at Austin, Lawyer",2,3
2/27/2023 9:21:48,Yes,Unoversity of texas at Austin,8,3
2/27/2023 9:28:17,Yes,University of Houston,6,7
2/27/2023 9:47:02,Yes,University of Texas at Austin,6,6
2/27/2023 10:01:47,Yes,University of Houston,9,8
2/27/2023 10:06:14,Yes,UT Austin,1,8
2/27/2023 10:09:52,Yes,Univ. of Houston ,7,6
2/27/2023 10:10:30,Yes,University of Texas at Austin ,6,8
2/27/2023 11:21:48,No,Mortgatge loan originator.,3,4
2/27/2023 11:31:09,Yes,UT Austin,1,8
2/27/2023 11:37:48,No,Graphic Engineering ,7,5
2/27/2023 12:20:31,Yes,Collin College,5,7
2/27/2023 12:20:52,Yes,University of Houston,7,8
2/27/2023 12:22:25,Yes,University of Houston,7,3
2/27/2023 12:25:02,Yes,University of Texas at Austin,7,5
2/27/2023 12:26:31,Yes,san jac,6,1
2/27/2023 12:28:49,Yes,University of Houston ,5,7
2/27/2023 12:29:36,No,Real estate photographer ,8,6
2/27/2023 12:30:20,Yes,UT Austin ,3,8
2/27/2023 12:33:20,No,Sales Associate ,5,4
2/27/2023 12:46:56,Yes,San Jacinto College,2,4
2/27/2023 12:50:53,Yes,University of Texas at Austin,6,6
2/27/2023 12:51:16,No,Journalist ,1,7
2/27/2023 13:06:33,Yes,UT Austin,4,6
2/27/2023 13:45:48,Yes,Dallas College,5,4
2/27/2023 13:47:33,Yes,"University of St Thomas, nursing ",2,5
2/27/2023 13:58:49,Yes,University of Texas at Austin,2,4
2/27/2023 14:22:59,Yes,University of Houston,3,9
2/27/2023 15:14:33,Yes,HVAC Technician ,10,7
2/27/2023 15:28:49,No,Marine Corps ,4,7
2/27/2023 15:29:43,Yes,University of Texas at Austin,4,7
2/27/2023 15:37:27,Yes,San Jacinto college,5,7
2/27/2023 16:08:32,Yes,University of Texas,1,10
2/27/2023 16:20:28,Yes,San Jacinto -computer science ,3,8
2/27/2023 16:33:13,Yes,Texas A&M,8,5
2/27/2023 17:19:38,Yes,Texas A&M,10,5
2/27/2023 18:21:41,Yes,Blinn college,8,1
